,,DEPENDENT,TU,HH,PM,OMCM,HL,AV
,,1,0,1,2,6,0,3.91
,,1,1,0,1,2,1,2.75
,,1,1,1,2,2,1,3.94
,,1,2,1,3,4,1,8.45
,,1,2,1,3,2,1,3.11
,,1,0,0,3,8,1,18
,,1,0,0,4,8,1,21.07
,,1,1,0,1,8,1,2.98
,,1,2,1,3,8,1,2.95
,,1,2,1,4,4,1,3.07
,,1,2,1,0,4,1,3.36
,,1,0,1,1,2,1,2.97
,,1,1,1,0,8,1,2.09
,,1,0,1,3,2,-1,8.77
,,1,0,1,2,8,0,2.28
,,1,0,1,3,6,-1,29
,,1,1,0,2,2,-1,3.14
,,1,1,0,2,8,1,
,,1,2,1,3,4,1,3.98
,,1,2,0,2,8,0,4.54
,,1,2,0,4,4,0,13.86
,,1,0,1,1,4,-1,5.65
,,1,2,1,3,8,1,13
,,1,1,0,4,2,1,3.85
,,1,2,1,4,2,1,4.28
,,1,2,1,2,4,0,2.46
,,1,0,0,0,2,0,4.42
,,1,2,1,4,4,1,7.33
,,1,0,1,1,4,1,3.03
,,1,0,1,3,4,0,20
,,1,2,0,2,4,0,2.71
,,1,0,1,3,8,1,
,,1,0,0,0,4,0,
,,1,0,0,4,8,-1,2.68
,,1,2,0,3,2,-1,2.87
,,1,1,0,0,6,-1,4.88
,,1,0,0,4,6,1,2.54
,,1,2,0,1,4,1,3.94
,,1,0,1,3,2,0,4.66
,,1,2,0,1,4,1,2.11
,,1,0,0,2,2,-1,2.23
,,1,2,1,3,4,1,4.87
,,1,0,0,4,4,1,5.21
,,1,0,1,3,6,1,2.95
,,1,2,1,3,4,1,
,,1,1,0,0,2,0,2.72
,,1,2,1,4,8,1,2.31
,,1,1,1,4,6,1,5.35
,,1,0,1,3,4,-1,3.01
,,1,2,1,1,4,1,4.62
,,1,2,0,0,4,0,10.66
,,1,1,0,4,6,1,18.88
,,1,0,1,4,6,1,5.5
,,1,2,1,1,4,1,4.25
,,1,2,1,4,4,1,2.13
,,1,2,1,3,8,1,3.97
,,1,2,0,4,8,1,15.05
,,1,0,1,4,4,0,2.35
,,1,0,1,1,2,-1,26.3
,,1,2,1,0,4,1,2.63
,,1,1,0,1,8,0,10.02
,,1,2,1,2,4,1,4.16
,,1,1,1,3,6,0,14.35
,,1,2,1,0,8,-1,21.02
,,1,2,1,3,4,1,12.22
,,1,1,0,4,8,1,20
,,1,2,1,3,4,-1,15.05
,,1,1,1,3,4,1,2.65
